Country,1990,2000,2014
Brunei Darussalam,24.94,29.68,29.68
Cambodia,0.02,18.32,20.61
Indonesia,2.62,3.71,6.01
Lao People's Democratic Republic,1.47,16.6,16.66
Malaysia,7.4,7.92,8.04
Myanmar,1.7,2.11,4.07
Singapore,2.52,3.28,3.39
Thailand,8.01,11.12,12.49
Viet Nam,1.58,2.12,2.54
,,,
,,,
,,,
