,Angkatan,Jenis Kelamin,Tinggal,Frekuensi Kategori,Jenis,Transaksi,Membantu,Perbandingan_frekuensi,E-Wallet,Alasan,Domisili,Frekuensi,Transportasi,Membeli makanan dan minuman,"Tagihan (Pulsa, Listrik, PAM, dll)",Online Shop / E-Commerce,"Entertainment (Netflix, Spotify, Viu, dll)",Voucher Game,"Berbagi (KitaBisa, Sumbangan Online, dll)",Menghindari uang fisik (Takut tertular virus Covid-19),Terbiasa sejak sebelum pandemi,Tidak bisa keluar rumah untuk mengambil uang di ATM,Penggunaan E-Wallet yang mudah dan praktis,Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet,Sering ada promo dan diskon
148,2019,Wanita,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO","Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll)",Ya,Meningkat,Gopay,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,6,0,1,0,1,1,0,0,1,1,0,1,0,1
149,2019,Pria,Bersama keluarga,>7 kali,"ShopeePay, Gopay, OVO, Jenius","Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll)",Ya,Meningkat,OVO,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet, Sering ada promo dan diskon",Jabodetabek,9,0,1,0,1,1,0,0,0,1,0,1,1,1
150,2019,Wanita,Bersama keluarga,>7 kali,"Gopay, OVO, DANA, Jenius","Membeli makanan dan minuman, Online Shop / E-Commerce, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,OVO,"Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,9,0,1,0,1,0,0,1,0,0,0,1,0,1
151,2019,Wanita,Bersama keluarga,>7 kali,"Gopay, OVO, DANA, Jenius","Membeli makanan dan minuman, Online Shop / E-Commerce, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,OVO,"Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,10,0,1,0,1,0,0,1,0,0,0,1,0,1
152,2019,Pria,Bersama keluarga,1 - 3 kali,Gopay,Voucher Game,Ya,Meningkat,Gopay,Penggunaan E-Wallet yang mudah dan praktis,Jabodetabek,3,0,0,0,0,0,1,0,0,0,0,1,0,0
153,2019,Wanita,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, OVO","Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce",Ya,Tidak terdampak,OVO,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,3,1,1,0,1,0,0,0,0,1,0,1,0,1
154,2019,Wanita,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, DANA","Membeli makanan dan minuman, Online Shop / E-Commerce",Ya,Meningkat,ShopeePay,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,3,0,1,0,1,0,0,0,1,1,1,1,0,1
155,2019,Wanita,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, OVO","Transportasi, Membeli makanan dan minuman, Entertainment (Netflix, Spotify, Viu, dll)",Ya,Meningkat,Gopay,"Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,3,1,1,0,0,1,0,0,0,0,1,1,0,1
156,2019,Pria,Bersama keluarga,4 - 7 kali,Gopay,"Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), Voucher Game",Ya,Menurun,Gopay,"Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,5,1,1,0,1,1,1,0,0,0,0,1,0,1
157,2019,Pria,Bersama keluarga,4 - 7 kali,"Gopay, OVO",Membeli makanan dan minuman,Ya,Tidak terdampak,OVO,Sering ada promo dan diskon,Pulau Jawa (selain Jabodetabek),5,0,1,0,0,0,0,0,0,0,0,0,0,1
158,2019,Wanita,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO, DANA","Membeli makanan dan minuman, Online Shop / E-Commerce, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Tidak terdampak,ShopeePay,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,5,0,1,0,1,0,0,1,0,1,0,1,0,1
159,2019,Wanita,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO, DANA","Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,OVO,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet, Sering ada promo dan diskon",Jabodetabek,5,1,1,0,1,0,0,1,1,1,1,1,1,1
160,2019,Wanita,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO, DANA","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce",Ya,Meningkat,Gopay,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,6,1,1,1,1,0,0,0,1,1,1,1,0,1
161,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, OVO","Membeli makanan dan minuman, Voucher Game",Ya,Tidak terdampak,OVO,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,3,0,1,0,0,0,1,0,0,1,0,1,0,1
162,2019,Pria,Bersama keluarga,>7 kali,"Gopay, DANA, LinkAja","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Entertainment (Netflix, Spotify, Viu, dll), Voucher Game",Ya,Tidak terdampak,Gopay,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis",Jabodetabek,9,1,1,1,0,1,1,0,0,1,0,1,0,0
163,2019,Wanita,Bersama keluarga,1 - 3 kali,"Gopay, OVO","Transportasi, Membeli makanan dan minuman",Ya,Meningkat,OVO,"Terbiasa sejak sebelum pandemi, Sering ada promo dan diskon",Jabodetabek,2,1,1,0,0,0,0,0,0,1,0,0,0,1
164,2019,Pria,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO, DANA, LinkAja, Jenius","Membeli makanan dan minuman, Online Shop / E-Commerce",Ya,Meningkat,OVO,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,6,0,1,0,1,0,0,0,1,1,1,1,0,1
165,2019,Pria,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, OVO, DANA","Transportasi, Online Shop / E-Commerce",Ya,Tidak terdampak,OVO,Sering ada promo dan diskon,Jabodetabek,2,1,0,0,1,0,0,0,0,0,0,0,0,1
166,2019,Wanita,Bersama keluarga,4 - 7 kali,"Gopay, Jenius","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll)",Ya,Meningkat,Gopay,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,6,1,1,1,1,1,0,0,1,1,0,1,0,1
167,2019,Pria,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO, DANA, LinkAja, DOKU, Jenius","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce",Ya,Tidak terdampak,DANA,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,5,1,1,1,1,0,0,0,0,1,0,1,0,1
